Year,Region,Factor,0.4,5.9,10.14,15.19,20.24,25.29,30.34,35.39,40.44,45.49,50.54,55.59,60.64,65.69,70.74,75.79,80 and over,Total
2007,Northland,Total,10960,11660,12630,11490,7260,6650,8150,10080,11230,11760,10850,10130,8850,7690,5520,4460,5240,154610
2007,Northland,Male,5500,5940,6470,5930,3750,3110,3800,4720,5330,5620,5330,5010,4370,3920,2760,2180,2120,75860
2007,Northland,Female,5450,5730,6150,5560,3510,3530,4350,5360,5900,6140,5520,5120,4480,3770,2760,2280,3120,78730
2007,Waitemata,Total,35560,35420,37680,38190,34390,32000,34820,41710,41900,39240,32130,28530,23150,18090,13240,10970,14630,511650
2007,Waitemata,Male,18400,18080,19300,19430,17420,15730,16460,19810,20170,19010,15630,13990,11270,8700,6230,5020,5480,250130
2007,Waitemata,Female,17170,17340,18380,18760,16970,16270,18360,21890,21730,20220,16500,14540,11890,9390,7010,5950,9150,261520
2007,Auckland,Total,28870,25360,26200,30130,40630,39760,36480,35740,33790,30500,25690,21660,16230,12850,8970,7520,11880,432260
2007,Auckland,Male,14880,13070,13460,15010,19800,19470,17650,17230,16600,14930,12600,10790,7980,6230,4270,3410,4150,211530
2007,Auckland,Female,13990,12290,12740,15110,20830,20290,18840,18500,17190,15570,13090,10870,8250,6620,4700,4120,7730,220730
2007,Counties Manukau,Total,39150,38180,39470,38580,32110,29690,30650,35450,35380,32540,26840,23330,18780,14490,9890,7830,9230,461590
2007,Counties Manukau,Male,20160,19400,20110,19630,15800,14020,14210,16740,17100,15830,13180,11420,9230,7050,4680,3590,3460,225610
2007,Counties Manukau,Female,18990,18780,19350,18940,16310,15670,16440,18710,18290,16700,13660,11910,9550,7440,5200,4240,5780,235960
2007,Waikato,Total,25570,26010,27100,27730,24400,21290,21650,24780,25180,25380,22500,20230,16790,14090,10760,9150,11160,353770
2007,Waikato,Male,12840,13290,14060,13940,12330,10590,10400,11720,12090,12260,11040,9960,8190,6870,5220,4260,4290,173350
2007,Waikato,Female,12740,12720,13040,13790,12070,10700,11240,13060,13090,13120,11460,10280,8600,7220,5540,4890,6870,180430
2007,Lakes,Total,7920,7900,8160,7630,5560,5780,6480,7370,7340,7650,6470,5860,4900,4090,2940,2480,2910,101440
2007,Lakes,Male,4060,4080,4170,3900,2780,2730,3080,3510,3480,3740,3130,2840,2400,2030,1430,1200,1100,49660
2007,Lakes,Female,3860,3820,3990,3730,2780,3050,3390,3860,3860,3910,3340,3020,2500,2060,1510,1280,1810,51770
2007,Bay of Plenty,Total,13980,14910,15600,14480,9850,10050,11600,13840,14520,15020,13690,12360,10920,9940,7740,6670,8410,203580
2007,Bay of Plenty,Male,7240,7730,7930,7380,4960,4860,5460,6380,6880,7210,6550,6090,5240,4730,3720,3190,3370,98920
2007,Bay of Plenty,Female,6740,7180,7670,7100,4900,5190,6130,7460,7640,7800,7140,6270,5680,5210,4020,3480,5040,104650
2007,Tairawhiti,Total,3810,3850,4030,3730,2530,2380,2700,3110,3140,3370,3040,2700,1980,1720,1350,1120,1380,45940
2007,Tairawhiti,Male,1950,2000,2010,1910,1220,1120,1280,1440,1510,1580,1530,1380,980,830,640,500,500,22380
2007,Tairawhiti,Female,1850,1850,2020,1810,1310,1260,1420,1670,1640,1780,1510,1320,1000,890,710,620,880,23540
2007,Taranaki,Total,7240,7630,7980,8190,5740,5770,6540,7450,7810,8130,7260,6540,5430,4530,3730,3310,4450,107730
2007,Taranaki,Male,3760,3920,4070,4200,2970,2870,3120,3570,3820,3940,3600,3280,2670,2210,1780,1560,1650,52990
2007,Taranaki,Female,3480,3700,3910,3990,2770,2900,3430,3880,3990,4190,3650,3260,2760,2320,1950,1760,2800,54740
2007,Hawke's Bay,Total,10980,11510,12070,11450,7780,7790,9110,10520,11130,11540,10170,9770,7900,6590,5020,4370,5720,153420
2007,Hawke's Bay,Male,5620,5850,6230,5720,3980,3740,4280,4970,5310,5540,4970,4770,3900,3170,2410,2000,2100,74560
2007,Hawke's Bay,Female,5360,5660,5840,5730,3800,4050,4830,5550,5810,6000,5210,5000,3990,3420,2610,2370,3620,78850
2007,Whanganui,Total,4190,4490,5000,4930,3330,3060,3450,4100,4560,4770,4400,3840,3250,2890,2390,2120,2700,63470
