Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total;Ethnicity
1988;Total;0;0;0;0;0;0;0;0;1;4;2;2;4;1;5;2;2;23;Maori
1989;Male;0;0;0;0;0;0;0;0;2;0;1;3;2;0;0;1;1;10;Maori
1989;Female;0;0;0;0;1;0;0;1;0;0;0;2;1;4;4;0;0;13;Maori
1989;Total;0;0;0;0;1;0;0;1;2;0;1;5;3;4;4;1;1;23;Maori
1990;Male;0;0;0;0;0;1;1;0;0;1;2;1;0;2;2;0;0;10;Maori
1990;Female;0;0;0;0;0;0;1;1;1;0;1;1;4;3;2;3;0;17;Maori
1990;Total;0;0;0;0;0;1;2;1;1;1;3;2;4;5;4;3;0;27;Maori
1991;Male;0;0;0;0;0;0;1;2;0;1;2;0;2;1;0;1;0;10;Maori
1991;Female;0;0;0;0;0;0;0;0;0;1;2;2;2;1;1;1;2;12;Maori
1991;Total;0;0;0;0;0;0;1;2;0;2;4;2;4;2;1;2;2;22;Maori
1992;Male;0;0;0;0;0;0;0;1;1;0;3;0;1;3;0;2;1;12;Maori
1992;Female;0;0;0;0;0;0;0;1;3;2;2;1;4;4;0;1;1;19;Maori
1992;Total;0;0;0;0;0;0;0;2;4;2;5;1;5;7;0;3;2;31;Maori
1993;Male;0;0;0;0;0;1;2;0;1;1;2;0;4;0;2;1;0;14;Maori
1993;Female;0;0;0;0;0;0;0;1;2;2;0;2;5;3;1;2;2;20;Maori
1993;Total;0;0;0;0;0;1;2;1;3;3;2;2;9;3;3;3;2;34;Maori
1994;Male;0;0;0;0;1;0;0;0;0;0;3;1;0;2;0;1;1;9;Maori
1994;Female;0;0;0;0;0;0;0;0;2;2;1;0;1;2;2;2;2;14;Maori
1994;Total;0;0;0;0;1;0;0;0;2;2;4;1;1;4;2;3;3;23;Maori
1995;Male;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Maori
1995;Female;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Maori
1995;Total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Maori
1996;Male;0;0;0;0;0;1;1;1;0;0;2;2;1;2;3;3;3;19;Maori
1996;Female;0;0;0;0;0;0;0;4;4;5;5;6;2;2;3;1;3;35;Maori
1996;Total;0;0;0;0;0;1;1;5;4;5;7;8;3;4;6;4;6;54;Maori
1997;Male;0;0;0;0;1;0;0;2;0;2;0;2;0;1;4;2;1;15;Maori
1997;Female;0;0;0;1;0;0;1;0;0;4;1;2;2;8;2;1;1;23;Maori
1997;Total;0;0;0;1;1;0;1;2;0;6;1;4;2;9;6;3;2;38;Maori
