"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2013,"Total",0,0,0,0,0,0,0,0,1,0,1,4,0,4,8,13,61,92,"Bay of Plenty",2
2006,"Male",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,5,"Gisborne",2
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,"Gisborne",2
2006,"Total",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,4,9,"Gisborne",2
2007,"Male",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,"Gisborne",2
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,"Gisborne",2
2007,"Total",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,7,"Gisborne",2
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"Gisborne",2
2008,"Female",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,5,"Gisborne",2
2008,"Total",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,7,"Gisborne",2
2009,"Male",0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,5,"Gisborne",2
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,"Gisborne",2
2009,"Total",0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,0,1,8,"Gisborne",2
2010,"Male",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,"Gisborne",2
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Gisborne",2
2010,"Total",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,"Gisborne",2
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,"Gisborne",2
2011,"Female",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,"Gisborne",2
2011,"Total",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,7,"Gisborne",2
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,"Gisborne",2
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Gisborne",2
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,6,"Gisborne",2
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,7,"Gisborne",2
2013,"Female",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,"Gisborne",2
2013,"Total",0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,1,3,10,"Gisborne",2
2006,"Male",1,0,0,0,0,0,0,0,1,1,1,1,1,2,0,2,1,11,"Hawke's Bay",2
2006,"Female",0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,5,"Hawke's Bay",2
2006,"Total",1,0,0,0,0,0,1,2,1,1,2,1,1,2,1,2,1,16,"Hawke's Bay",2
2007,"Male",0,0,0,0,0,0,2,0,0,0,0,0,1,4,1,2,3,13,"Hawke's Bay",2
2007,"Female",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,8,"Hawke's Bay",2
2007,"Total",0,0,0,1,0,0,2,0,1,0,0,1,1,4,1,2,8,21,"Hawke's Bay",2
2008,"Male",0,0,1,0,0,0,0,0,0,2,0,2,2,0,1,2,7,17,"Hawke's Bay",2
2008,"Female",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6,9,"Hawke's Bay",2
2008,"Total",0,0,1,0,0,0,0,0,1,2,0,3,2,0,1,3,13,26,"Hawke's Bay",2
2009,"Male",1,0,0,0,0,0,0,2,0,0,0,3,0,3,2,9,27,47,"Hawke's Bay",2
2009,"Female",1,0,0,0,0,0,0,1,0,1,2,1,1,2,1,8,55,73,"Hawke's Bay",2
2009,"Total",2,0,0,0,0,0,0,3,0,1,2,4,1,5,3,17,82,120,"Hawke's Bay",2
2010,"Male",0,0,0,0,0,0,0,0,0,2,0,0,2,2,4,4,32,46,"Hawke's Bay",2
2010,"Female",1,0,0,0,0,0,0,0,0,0,0,3,1,2,3,5,55,70,"Hawke's Bay",2
2010,"Total",1,0,0,0,0,0,0,0,0,2,0,3,3,4,7,9,87,116,"Hawke's Bay",2
2011,"Male",1,0,0,0,0,1,0,0,0,0,0,0,5,4,4,13,37,65,"Hawke's Bay",2
2011,"Female",1,0,0,0,0,1,0,0,2,1,0,0,2,3,4,8,59,81,"Hawke's Bay",2
2011,"Total",2,0,0,0,0,2,0,0,2,1,0,0,7,7,8,21,96,146,"Hawke's Bay",2
2012,"Male",0,0,0,0,0,0,0,0,0,2,3,3,2,0,4,9,51,74,"Hawke's Bay",2
2012,"Female",0,0,0,0,0,1,0,0,1,0,0,0,2,1,4,6,77,92,"Hawke's Bay",2
2012,"Total",0,0,0,0,0,1,0,0,1,2,3,3,4,1,8,15,128,166,"Hawke's Bay",2
2013,"Male",1,0,0,0,0,0,0,1,0,0,3,1,3,3,2,6,46,66,"Hawke's Bay",2
2013,"Female",0,0,0,1,0,0,0,0,2,1,0,0,0,5,2,5,53,69,"Hawke's Bay",2
2013,"Total",1,0,0,1,0,0,0,1,2,1,3,1,3,8,4,11,99,135,"Hawke's Bay",2
2006,"Male",0,0,0,2,0,0,0,0,1,1,0,1,0,2,2,2,0,11,"Taranaki",2
2006,"Female",0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,1,8,"Taranaki",2
2006,"Total",0,0,0,2,0,0,0,0,1,2,0,2,1,2,5,3,1,19,"Taranaki",2
2007,"Male",0,0,0,0,1,0,0,0,1,1,2,1,0,0,2,0,3,11,"Taranaki",2
2007,"Female",1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,0,8,"Taranaki",2
2007,"Total",1,0,0,0,1,0,0,0,1,2,2,1,1,1,4,2,3,19,"Taranaki",2
2008,"Male",1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,4,11,"Taranaki",2
2008,"Female",1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2,8,"Taranaki",2
2008,"Total",2,0,0,0,0,0,0,0,1,1,1,0,2,3,2,1,6,19,"Taranaki",2
2009,"Male",1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,2,9,"Taranaki",2
2009,"Female",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,5,"Taranaki",2
2009,"Total",1,0,0,0,0,1,0,0,0,0,3,0,1,0,1,3,4,14,"Taranaki",2
2010,"Male",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,4,10,"Taranaki",2
2010,"Female",1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,7,"Taranaki",2
2010,"Total",1,0,0,0,0,0,0,0,1,3,0,1,2,1,1,2,5,17,"Taranaki",2
2011,"Male",0,0,0,0,0,0,0,1,1,1,0,2,1,2,0,2,2,12,"Taranaki",2
2011,"Female",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,6,"Taranaki",2
2011,"Total",0,0,0,0,0,0,0,1,1,2,0,3,1,3,0,4,3,18,"Taranaki",2
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,6,14,"Taranaki",2
2012,"Female",1,0,0,0,0,0,0,0,1,3,0,0,1,2,0,1,2,11,"Taranaki",2
2012,"Total",1,0,0,0,0,0,0,0,1,3,0,3,2,3,1,3,8,25,"Taranaki",2
2013,"Male",0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,2,10,"Taranaki",2
2013,"Female",0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,5,12,"Taranaki",2
2013,"Total",0,0,0,0,0,0,0,0,1,0,2,2,1,3,3,3,7,22,"Taranaki",2
2006,"Male",1,0,0,0,0,0,0,0,1,3,3,2,2,3,3,7,15,40,"Manawatu-Wanganui",2
2006,"Female",1,0,0,1,0,0,0,1,0,0,0,1,3,1,2,1,32,43,"Manawatu-Wanganui",2
2006,"Total",2,0,0,1,0,0,0,1,1,3,3,3,5,4,5,8,47,83,"Manawatu-Wanganui",2
2007,"Male",0,0,2,1,0,0,0,0,0,0,2,0,4,2,2,8,14,35,"Manawatu-Wanganui",2
2007,"Female",1,0,1,0,0,0,0,1,1,1,0,0,0,4,2,9,30,50,"Manawatu-Wanganui",2
2007,"Total",1,0,3,1,0,0,0,1,1,1,2,0,4,6,4,17,44,85,"Manawatu-Wanganui",2
2008,"Male",4,0,0,1,0,0,0,1,0,1,3,2,2,3,10,7,23,57,"Manawatu-Wanganui",2
2008,"Female",0,0,0,0,0,0,0,0,0,1,1,1,1,5,4,5,37,55,"Manawatu-Wanganui",2
2008,"Total",4,0,0,1,0,0,0,1,0,2,4,3,3,8,14,12,60,112,"Manawatu-Wanganui",2
2009,"Male",1,0,0,0,1,1,0,0,1,2,1,2,3,0,6,12,15,45,"Manawatu-Wanganui",2
2009,"Female",1,0,0,0,0,1,0,0,0,1,1,2,0,0,3,7,36,52,"Manawatu-Wanganui",2
2009,"Total",2,0,0,0,1,2,0,0,1,3,2,4,3,0,9,19,51,97,"Manawatu-Wanganui",2
2010,"Male",1,0,0,0,0,1,0,1,0,2,2,1,5,2,3,7,18,43,"Manawatu-Wanganui",2
2010,"Female",2,0,0,0,0,0,0,0,0,2,0,0,2,3,5,5,19,38,"Manawatu-Wanganui",2
2010,"Total",3,0,0,0,0,1,0,1,0,4,2,1,7,5,8,12,37,81,"Manawatu-Wanganui",2
2011,"Male",1,0,0,1,0,0,0,1,0,2,1,2,1,4,5,4,20,42,"Manawatu-Wanganui",2
2011,"Female",1,0,0,0,0,0,0,0,1,1,0,6,1,0,3,6,29,48,"Manawatu-Wanganui",2
2011,"Total",2,0,0,1,0,0,0,1,1,3,1,8,2,4,8,10,49,90,"Manawatu-Wanganui",2
2012,"Male",0,0,0,1,3,0,0,0,1,1,2,0,0,2,5,2,27,44,"Manawatu-Wanganui",2
2012,"Female",1,0,0,0,1,0,0,0,1,2,2,2,2,1,5,6,26,49,"Manawatu-Wanganui",2
2012,"Total",1,0,0,1,4,0,0,0,2,3,4,2,2,3,10,8,53,93,"Manawatu-Wanganui",2
2013,"Male",1,0,1,0,0,0,0,1,1,1,1,1,0,2,2,4,21,36,"Manawatu-Wanganui",2
2013,"Female",1,0,0,0,1,0,0,0,1,1,1,0,1,3,4,7,28,48,"Manawatu-Wanganui",2
2013,"Total",2,0,1,0,1,0,0,1,2,2,2,1,1,5,6,11,49,84,"Manawatu-Wanganui",2
2006,"Male",3,0,0,1,0,1,0,0,1,1,3,5,3,5,4,6,25,58,"Wellington",2
2006,"Female",1,0,0,0,1,0,1,0,2,0,2,8,3,5,9,6,18,56,"Wellington",2
2006,"Total",4,0,0,1,1,1,1,0,3,1,5,13,6,10,13,12,43,114,"Wellington",2
2007,"Male",5,0,1,1,0,2,7,1,2,0,3,4,7,7,7,13,22,82,"Wellington",2
2007,"Female",4,0,0,0,0,0,0,2,1,0,3,2,5,6,5,6,16,50,"Wellington",2
2007,"Total",9,0,1,1,0,2,7,3,3,0,6,6,12,13,12,19,38,132,"Wellington",2
2008,"Male",3,0,0,0,0,0,0,1,1,0,3,4,4,6,6,11,16,55,"Wellington",2
2008,"Female",4,1,0,0,0,0,0,1,1,2,1,3,3,2,4,5,23,50,"Wellington",2
2008,"Total",7,1,0,0,0,0,0,2,2,2,4,7,7,8,10,16,39,105,"Wellington",2
2009,"Male",5,0,0,0,0,0,0,1,0,1,2,8,7,5,6,8,26,69,"Wellington",2
2009,"Female",6,0,0,0,0,1,0,0,2,3,4,3,6,4,4,1,27,61,"Wellington",2
2009,"Total",11,0,0,0,0,1,0,1,2,4,6,11,13,9,10,9,53,130,"Wellington",2
2010,"Male",2,0,0,0,2,0,0,0,2,2,4,2,4,6,9,6,17,56,"Wellington",2
2010,"Female",1,0,0,0,0,0,0,3,2,1,4,4,4,6,4,9,30,68,"Wellington",2
2010,"Total",3,0,0,0,2,0,0,3,4,3,8,6,8,12,13,15,47,124,"Wellington",2
2011,"Male",2,0,0,0,0,3,2,0,0,1,1,2,6,5,7,8,33,70,"Wellington",2
2011,"Female",4,0,0,0,1,0,0,0,1,0,2,6,5,2,6,5,29,61,"Wellington",2
2011,"Total",6,0,0,0,1,3,2,0,1,1,3,8,11,7,13,13,62,131,"Wellington",2
2012,"Male",0,0,0,1,1,1,1,2,3,4,2,1,5,6,15,10,32,84,"Wellington",2
2012,"Female",3,0,0,0,0,0,0,1,1,3,2,6,1,6,9,7,29,68,"Wellington",2
2012,"Total",3,0,0,1,1,1,1,3,4,7,4,7,6,12,24,17,61,152,"Wellington",2
2013,"Male",2,1,0,1,1,1,1,0,3,3,1,7,3,5,6,9,23,67,"Wellington",2
2013,"Female",0,0,0,1,0,0,0,2,0,2,0,1,3,8,7,4,16,44,"Wellington",2
2013,"Total",2,1,0,2,1,1,1,2,3,5,1,8,6,13,13,13,39,111,"Wellington",2
2006,"Male",1,1,0,0,0,1,1,0,0,0,0,2,1,2,2,1,3,15,"Tasman",2
2006,"Female",0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,3,9,"Tasman",2
2006,"Total",1,1,0,0,0,1,1,0,0,0,1,2,2,2,5,2,6,24,"Tasman",2
2007,"Male",1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,4,10,"Tasman",2
2007,"Female",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,6,"Tasman",2
2007,"Total",1,1,0,0,0,0,0,0,1,1,0,1,2,1,1,0,7,16,"Tasman",2
2008,"Male",1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,7,"Tasman",2
2008,"Female",0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,2,9,"Tasman",2
2008,"Total",1,0,0,0,0,0,1,1,2,0,0,4,0,2,2,1,2,16,"Tasman",2
2009,"Male",0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,2,8,15,"Tasman",2
2009,"Female",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,4,9,"Tasman",2
2009,"Total",0,1,0,1,0,0,0,0,1,1,0,1,2,2,0,3,12,24,"Tasman",2
2010,"Male",0,0,0,1,0,0,0,0,2,0,1,2,3,3,3,1,7,23,"Tasman",2
2010,"Female",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,3,7,"Tasman",2
2010,"Total",0,0,0,2,0,0,0,0,2,0,1,3,3,4,4,1,10,30,"Tasman",2
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,4,10,"Tasman",2
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,5,11,"Tasman",2
