"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,3,11,"Bay of Plenty",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,2,12,30,"Bay of Plenty",1
2010,"Male",1,0,0,0,1,0,0,1,1,0,1,1,1,1,4,2,12,26,"Bay of Plenty",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,6,14,"Bay of Plenty",1
2010,"Total",1,0,0,0,1,0,0,1,1,0,2,1,1,3,6,5,18,40,"Bay of Plenty",1
2011,"Male",0,0,0,0,0,0,2,0,0,0,1,0,0,3,2,4,12,24,"Bay of Plenty",1
2011,"Female",0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,3,4,14,"Bay of Plenty",1
2011,"Total",0,0,0,0,0,0,2,0,1,0,1,0,1,7,3,7,16,38,"Bay of Plenty",1
2012,"Male",1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,9,20,"Bay of Plenty",1
2012,"Female",1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,6,15,"Bay of Plenty",1
2012,"Total",2,0,0,0,0,0,0,0,0,0,2,2,3,3,6,2,15,35,"Bay of Plenty",1
2013,"Male",1,0,0,0,1,0,0,0,0,1,0,1,1,6,2,9,7,29,"Bay of Plenty",1
2013,"Female",0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,3,10,"Bay of Plenty",1
2013,"Total",1,0,0,0,1,0,0,1,0,1,1,1,1,7,4,11,10,39,"Bay of Plenty",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
