"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2009,"Total",0,0,0,0,2,0,0,1,2,2,7,1,5,4,5,12,49,90,"North Shore",1
2010,"Male",0,0,0,1,0,1,1,0,0,2,2,3,3,5,5,5,21,49,"North Shore",1
2010,"Female",0,0,0,1,0,0,0,0,0,1,1,0,5,4,2,6,25,45,"North Shore",1
2010,"Total",0,0,0,2,0,1,1,0,0,3,3,3,8,9,7,11,46,94,"North Shore",1
2011,"Male",1,0,0,0,2,0,0,1,2,3,0,2,4,1,5,5,18,44,"North Shore",1
2011,"Female",2,0,0,0,0,0,0,1,2,0,1,4,2,2,6,2,31,53,"North Shore",1
2011,"Total",3,0,0,0,2,0,0,2,4,3,1,6,6,3,11,7,49,97,"North Shore",1
2012,"Male",2,0,0,1,0,1,0,1,0,1,1,2,2,5,4,4,35,59,"North Shore",1
2012,"Female",1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,30,39,"North Shore",1
2012,"Total",3,0,0,1,0,1,0,1,0,2,1,2,3,7,6,6,65,98,"North Shore",1
2013,"Male",0,0,0,0,0,0,1,1,1,3,3,2,4,2,3,4,16,40,"North Shore",1
2013,"Female",1,0,0,1,0,0,0,0,0,1,0,1,2,5,5,6,27,49,"North Shore",1
2013,"Total",1,0,0,1,0,0,1,1,1,4,3,3,6,7,8,10,43,89,"North Shore",1
2006,"Male",1,0,0,0,0,0,1,0,1,1,1,3,1,1,3,3,8,24,"Waitakere",1
2006,"Female",1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,11,"Waitakere",1
2006,"Total",2,0,0,0,0,0,1,0,1,1,1,3,4,1,4,3,14,35,"Waitakere",1
2007,"Male",0,0,0,0,1,1,0,0,0,1,1,1,3,3,0,1,6,18,"Waitakere",1
2007,"Female",1,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,3,13,"Waitakere",1
2007,"Total",1,0,0,0,1,1,0,0,0,2,3,3,4,4,1,2,9,31,"Waitakere",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,13,22,"Waitakere",1
2008,"Female",1,0,0,0,0,0,0,2,0,1,0,1,3,1,2,2,7,20,"Waitakere",1
2008,"Total",1,0,0,0,0,0,0,2,0,1,0,2,3,5,2,6,20,42,"Waitakere",1
2009,"Male",1,0,0,0,0,0,0,0,0,2,2,2,0,4,3,2,5,21,"Waitakere",1
2009,"Female",1,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,5,14,"Waitakere",1
2009,"Total",2,0,0,0,0,0,0,0,0,2,3,3,2,4,5,4,10,35,"Waitakere",1
2010,"Male",1,0,0,0,0,0,0,0,2,3,2,0,5,0,1,3,13,30,"Waitakere",1
2010,"Female",1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,8,16,"Waitakere",1
2010,"Total",2,0,0,0,0,0,0,0,3,3,3,2,5,0,2,5,21,46,"Waitakere",1
2011,"Male",0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,9,14,"Waitakere",1
2011,"Female",3,0,0,0,0,0,0,1,0,0,2,0,0,4,1,0,11,22,"Waitakere",1
2011,"Total",3,0,0,0,0,0,0,1,0,1,2,0,1,4,3,1,20,36,"Waitakere",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,3,8,19,"Waitakere",1
2012,"Female",2,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,10,24,"Waitakere",1
2012,"Total",2,0,0,0,0,0,0,0,0,3,0,1,3,3,7,6,18,43,"Waitakere",1
2013,"Male",0,0,0,1,0,0,0,1,0,2,0,4,0,2,1,5,13,29,"Waitakere",1
2013,"Female",1,0,0,0,1,0,0,1,0,1,2,1,4,2,2,3,8,26,"Waitakere",1
2013,"Total",1,0,0,1,1,0,0,2,0,3,2,5,4,4,3,8,21,55,"Waitakere",1
2006,"Male",2,1,0,0,0,1,0,0,1,2,0,2,3,3,10,9,49,83,"Auckland",1
2006,"Female",1,0,0,0,0,1,0,0,0,2,6,3,7,5,5,10,87,127,"Auckland",1
2006,"Total",3,1,0,0,0,2,0,0,1,4,6,5,10,8,15,19,136,210,"Auckland",1
2007,"Male",0,0,0,0,0,0,0,0,1,1,3,5,3,10,2,20,41,86,"Auckland",1
2007,"Female",1,0,0,0,0,0,0,1,1,0,1,0,3,3,10,8,81,109,"Auckland",1
2007,"Total",1,0,0,0,0,0,0,1,2,1,4,5,6,13,12,28,122,195,"Auckland",1
2008,"Male",3,0,0,0,0,0,1,0,1,1,2,7,5,4,5,10,44,83,"Auckland",1
2008,"Female",2,0,0,0,0,1,0,1,0,1,1,5,4,4,8,10,105,142,"Auckland",1
2008,"Total",5,0,0,0,0,1,1,1,1,2,3,12,9,8,13,20,149,225,"Auckland",1
2009,"Male",1,0,0,1,0,0,1,0,1,3,3,6,0,6,8,8,47,85,"Auckland",1
2009,"Female",1,0,0,1,0,0,0,0,0,0,4,3,4,4,4,9,82,112,"Auckland",1
2009,"Total",2,0,0,2,0,0,1,0,1,3,7,9,4,10,12,17,129,197,"Auckland",1
2010,"Male",1,0,0,1,0,0,0,0,0,4,2,1,4,7,12,10,60,102,"Auckland",1
2010,"Female",2,0,0,0,0,0,1,0,2,1,0,4,4,4,6,9,87,120,"Auckland",1
2010,"Total",3,0,0,1,0,0,1,0,2,5,2,5,8,11,18,19,147,222,"Auckland",1
2011,"Male",4,0,0,0,0,1,0,0,2,2,0,1,6,7,11,14,54,102,"Auckland",1
2011,"Female",1,0,0,0,0,0,0,0,0,2,1,2,1,5,8,7,114,141,"Auckland",1
2011,"Total",5,0,0,0,0,1,0,0,2,4,1,3,7,12,19,21,168,243,"Auckland",1
2012,"Male",2,0,0,0,0,1,1,1,0,1,1,2,3,2,10,12,46,82,"Auckland",1
2012,"Female",2,0,0,0,0,0,0,0,0,0,1,4,5,5,5,8,98,128,"Auckland",1
2012,"Total",4,0,0,0,0,1,1,1,0,1,2,6,8,7,15,20,144,210,"Auckland",1
2013,"Male",0,0,0,0,0,0,1,1,0,1,2,2,10,11,10,4,52,94,"Auckland",1
2013,"Female",4,0,0,0,0,1,0,0,0,3,4,1,4,3,5,11,90,126,"Auckland",1
2013,"Total",4,0,0,0,0,1,1,1,0,4,6,3,14,14,15,15,142,220,"Auckland",1
2006,"Male",1,0,0,0,0,0,0,1,1,0,2,3,2,2,6,2,12,32,"Manakau",1
2006,"Female",0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,3,20,34,"Manakau",1
2006,"Total",1,0,0,0,0,0,0,1,2,1,3,6,4,3,8,5,32,66,"Manakau",1
2007,"Male",0,0,0,0,1,1,0,0,0,0,1,3,3,4,4,5,12,34,"Manakau",1
2007,"Female",2,0,0,0,0,0,0,1,0,0,2,1,1,1,4,5,15,32,"Manakau",1
2007,"Total",2,0,0,0,1,1,0,1,0,0,3,4,4,5,8,10,27,66,"Manakau",1
2008,"Male",0,0,0,1,0,0,1,0,0,3,2,1,3,4,5,9,10,39,"Manakau",1
2008,"Female",1,0,0,0,0,0,0,0,1,0,0,3,1,2,5,2,19,34,"Manakau",1
2008,"Total",1,0,0,1,0,0,1,0,1,3,2,4,4,6,10,11,29,73,"Manakau",1
2009,"Male",2,0,0,0,0,0,0,0,0,2,2,1,1,10,6,5,19,48,"Manakau",1
2009,"Female",0,0,0,0,1,0,0,0,0,1,3,2,1,5,2,7,11,33,"Manakau",1
2009,"Total",2,0,0,0,1,0,0,0,0,3,5,3,2,15,8,12,30,81,"Manakau",1
2010,"Male",1,0,0,0,0,0,0,0,1,2,3,4,2,3,8,7,23,54,"Manakau",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,1,2,0,5,3,1,24,36,"Manakau",1
2010,"Total",1,0,0,0,0,0,0,0,1,2,4,6,2,8,11,8,47,90,"Manakau",1
2011,"Male",1,0,0,0,0,0,0,0,1,1,2,2,0,2,6,4,7,26,"Manakau",1
2011,"Female",0,0,0,0,1,0,0,1,0,3,1,0,7,3,1,5,23,45,"Manakau",1
2011,"Total",1,0,0,0,1,0,0,1,1,4,3,2,7,5,7,9,30,71,"Manakau",1
2012,"Male",1,0,0,1,1,1,0,0,0,0,0,2,1,4,3,8,17,39,"Manakau",1
2012,"Female",3,0,0,0,0,0,0,0,0,1,1,0,4,5,4,1,21,40,"Manakau",1
2012,"Total",4,0,0,1,1,1,0,0,0,1,1,2,5,9,7,9,38,79,"Manakau",1
2013,"Male",1,0,0,0,0,1,0,0,0,1,0,4,2,5,3,5,21,43,"Manakau",1
2013,"Female",1,0,0,0,0,0,0,0,0,2,2,3,1,4,2,7,18,40,"Manakau",1
2013,"Total",2,0,0,0,0,1,0,0,0,3,2,7,3,9,5,12,39,83,"Manakau",1
2006,"Male",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,4,"Papakura",1
2006,"Female",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,"Papakura",1
2006,"Total",0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,7,"Papakura",1
2007,"Male",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,5,"Papakura",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,"Papakura",1
2007,"Total",0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,2,8,"Papakura",1
2008,"Male",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,"Papakura",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Papakura",1
2008,"Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,"Papakura",1
2009,"Male",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,"Papakura",1
2009,"Female",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Papakura",1
2009,"Total",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,4,"Papakura",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Papakura",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Papakura",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,"Papakura",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,"Papakura",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"Papakura",1
