"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2012,"Male",1,0,0,0,1,0,0,1,1,1,1,2,1,4,11,5,27,56,"Waikato",1
2012,"Female",2,0,0,0,0,0,0,1,0,2,2,1,2,5,2,7,29,53,"Waikato",1
2012,"Total",3,0,0,0,1,0,0,2,1,3,3,3,3,9,13,12,56,109,"Waikato",1
2013,"Male",0,0,0,1,1,0,0,0,0,2,3,2,5,5,7,5,33,64,"Waikato",1
2013,"Female",1,0,0,0,0,0,1,0,0,0,2,1,2,1,11,5,25,49,"Waikato",1
2013,"Total",1,0,0,1,1,0,1,0,0,2,5,3,7,6,18,10,58,113,"Waikato",1
2006,"Male",0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,2,7,"Lakes",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,9,"Lakes",1
2006,"Total",0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,4,7,16,"Lakes",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,8,14,"Lakes",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,"Lakes",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,9,17,"Lakes",1
2008,"Male",0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,6,"Lakes",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,10,"Lakes",1
2008,"Total",0,0,0,0,0,0,1,0,0,0,0,3,0,2,2,1,7,16,"Lakes",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,"Lakes",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,"Lakes",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6,10,"Lakes",1
2010,"Male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,7,"Lakes",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,"Lakes",1
2010,"Total",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,5,11,"Lakes",1
2011,"Male",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3,9,"Lakes",1
2011,"Female",0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,6,"Lakes",1
2011,"Total",0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,4,3,15,"Lakes",1
2012,"Male",1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,2,8,"Lakes",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,"Lakes",1
2012,"Total",1,0,0,0,0,0,1,0,0,0,1,1,1,2,2,0,3,12,"Lakes",1
2013,"Male",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,2,10,"Lakes",1
2013,"Female",0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,2,3,10,"Lakes",1
2013,"Total",0,0,0,0,0,0,0,1,0,1,2,0,1,2,2,6,5,20,"Lakes",1
2006,"Male",1,0,0,0,1,0,0,0,0,0,1,1,0,1,3,1,1,10,"Bay of Plenty",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,11,"Bay of Plenty",1
2006,"Total",1,0,0,0,1,0,0,0,0,0,1,1,3,3,4,4,3,21,"Bay of Plenty",1
2007,"Male",0,0,0,0,0,0,0,1,0,0,1,2,0,2,2,1,3,12,"Bay of Plenty",1
