"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2013,"Male",1,0,0,0,1,0,0,0,0,0,0,1,1,5,1,5,5,20,"Bay of Plenty",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Bay of Plenty",1
2013,"Total",1,0,0,0,1,0,0,0,0,0,0,1,1,5,2,5,5,21,"Bay of Plenty",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2006,"Male",0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,3,10,20,"Taranaki",1
2006,"Female",0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,3,18,26,"Taranaki",1
2006,"Total",0,0,0,0,0,0,1,0,0,1,2,2,2,3,1,6,28,46,"Taranaki",1
2007,"Male",0,0,0,0,0,0,0,0,1,1,3,0,3,3,1,2,12,26,"Taranaki",1
2007,"Female",0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,3,14,25,"Taranaki",1
2007,"Total",0,0,0,0,0,0,0,0,2,1,3,0,6,6,2,5,26,51,"Taranaki",1
2008,"Male",0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,4,13,24,"Taranaki",1
2008,"Female",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,26,34,"Taranaki",1
2008,"Total",1,1,0,0,0,0,0,1,0,0,1,2,1,3,1,8,39,58,"Taranaki",1
2009,"Male",0,0,0,0,0,1,0,0,0,1,0,2,1,0,2,3,19,29,"Taranaki",1
2009,"Female",0,0,0,0,0,1,0,0,1,1,1,0,1,1,3,2,22,33,"Taranaki",1
2009,"Total",0,0,0,0,0,2,0,0,1,2,1,2,2,1,5,5,41,62,"Taranaki",1
2010,"Male",2,0,0,1,0,0,0,1,0,2,0,1,2,0,3,4,20,36,"Taranaki",1
