"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2013,"Total",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,6,"Taranaki",1
2006,"Male",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,"Manawatu-Wanganui",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,"Manawatu-Wanganui",1
2006,"Total",0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,6,"Manawatu-Wanganui",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Manawatu-Wanganui",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,"Manawatu-Wanganui",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,"Manawatu-Wanganui",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manawatu-Wanganui",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"Manawatu-Wanganui",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"Manawatu-Wanganui",1
2009,"Male",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Manawatu-Wanganui",1
2009,"Female",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,"Manawatu-Wanganui",1
2009,"Total",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,"Manawatu-Wanganui",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Manawatu-Wanganui",1
2010,"Female",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,"Manawatu-Wanganui",1
2010,"Total",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,5,"Manawatu-Wanganui",1
2011,"Male",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,"Manawatu-Wanganui",1
2011,"Female",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"Manawatu-Wanganui",1
2011,"Total",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,"Manawatu-Wanganui",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,"Manawatu-Wanganui",1
2012,"Female",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Manawatu-Wanganui",1
2012,"Total",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,"Manawatu-Wanganui",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manawatu-Wanganui",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manawatu-Wanganui",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manawatu-Wanganui",1
2006,"Male",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,"Wellington",1
2006,"Female",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,7,"Wellington",1
2006,"Total",0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,2,2,10,"Wellington",1
2007,"Male",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,"Wellington",1
2007,"Female",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,6,"Wellington",1
2007,"Total",1,0,0,0,0,0,0,1,0,0,1,1,0,3,0,1,1,9,"Wellington",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wellington",1
2008,"Female",3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,7,"Wellington",1
2008,"Total",3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,7,"Wellington",1
2009,"Male",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,6,"Wellington",1
2009,"Female",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,"Wellington",1
2009,"Total",2,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,1,11,"Wellington",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5,"Wellington",1
2010,"Female",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,6,"Wellington",1
2010,"Total",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,4,11,"Wellington",1
2011,"Male",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,4,"Wellington",1
2011,"Female",1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,8,"Wellington",1
2011,"Total",1,0,0,1,0,0,0,0,1,2,1,1,0,1,1,1,2,12,"Wellington",1
2012,"Male",2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,6,"Wellington",1
2012,"Female",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,"Wellington",1
2012,"Total",2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,9,"Wellington",1
2013,"Male",2,0,0,0,1,0,1,1,0,0,1,3,0,0,1,0,1,11,"Wellington",1
2013,"Female",3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,3,11,"Wellington",1
2013,"Total",5,0,0,0,1,0,1,2,0,1,1,3,0,2,1,1,4,22,"Wellington",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasman",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nelson",1
